time,x1_disp,x2_disp,force1,force2
0.0,0.0,0.0,15.235854,-51.999205
0.000977,7.218e-06,-2.4756e-05,37.52256,47.028236
0.001953,3.9122e-05,-5.1578e-05,-97.551759,-65.108975
0.00293,4.1134e-05,-8.6462e-05,6.39202,-15.81213
0.003906,-1.514e-06,-0.000159127,-0.840058,-42.652196
0.004883,-4.2188e-05,-0.000258638,43.969899,38.889597
0.005859,-6.2682e-05,-0.000358519,3.301535,56.36206
0.006836,-6.1221e-05,-0.000411213,23.375467,-42.964623
0.007812,-4.7972e-05,-0.000455539,18.437539,-47.94413
0.008789,-1.6399e-05,-0.000540821,43.922515,-2.496296
0.009766,4.1985e-05,-0.00064703,-9.243118,-34.046477
0.010742,0.000111997,-0.000766623,61.127067,-7.726474
0.011719,0.000199606,-0.000901023,-21.416391,-17.606678
0.012695,0.000296246,-0.001041172,26.615459,18.272203
0.013672,0.000382684,-0.001173427,20.636631,21.54105
0.014648,0.000476353,-0.001278022,107.08238,-20.320751
0.015625,0.000612864,-0.001372334,-25.612136,-40.688636
0.016602,0.00076639,-0.001484732,30.798971,56.448615
0.017578,0.000896767,-0.001577225,-5.697373,-42.007824
0.018555,0.001010227,-0.001649369,-41.224061,32.529639
0.019531,0.001069815,-0.001711622,37.162709,27.157713
0.020508,0.001094653,-0.001730515,-33.275485,11.608066
0.021484,0.00108804,-0.001715914,5.83429,10.93443
0.022461,0.001035598,-0.001675796,43.571439,11.179777
0.023438,0.000975451,-0.001610935,33.945678,3.378953
0.024414,0.000922634,-0.001525648,14.45597,31.564411
0.025391,0.000864917,-0.00141102,-72.857791,-15.983561
0.026367,0.000753503,-0.001277324,-23.518633,-31.943892
0.027344,0.000573888,-0.001156211,-13.757113,74.747066
0.02832,0.000359087,-0.001006063,-43.291556,48.413918
0.029297,0.000105498,-0.000790692,-84.143489,-16.744251
0.030273,-0.000213363,-0.000556399,8.137653,29.311117
0.03125,-0.000564434,-0.000315293,35.561329,39.667362
0.032227,-0.000881726,-4.3647e-05,-17.436254,-23.11759
0.033203,-0.00116925,0.000230367,42.898794,-9.565216
0.03418,-0.001415866,0.000480409,-63.784316,-56.664361
0.035156,-0.001637236,0.000687958,-45.972614,24.858037
0.036133,-0.00186972,0.000867258,7.121287,34.524268
0.037109,-0.002073546,0.001059598,-21.362632,7.926985
0.038086,-0.002231771,0.001254797,31.27952,-15.467327
0.039062,-0.002328637,0.001427254,22.838762,-33.096297
0.040039,-0.002340581,0.001556161,-18.152692,-19.086895
0.041016,-0.00229067,0.001639249,-59.791982,24.348624
0.041992,-0.002219156,0.001703841,-23.470117,0.624706
0.042969,-0.00212988,0.001759402,24.037333,22.326559
0.043945,-0.001984831,0.001805237,33.269255,-4.924274
0.044922,-0.001760365,0.001839317,-21.164916,-3.985911
0.045898,-0.001483184,0.001850236,-84.366722,-72.355624
0.046875,-0.001215492,0.001807354,-66.134981,-49.862341
0.047852,-0.000984707,0.001690607,19.988711,-45.273953
0.048828,-0.000746777,0.00151493,-18.908128,64.961415
0.049805,-0.000485547,0.001337372,-17.813199,36.875778
0.050781,-0.000225692,0.001199305,-46.680884,-10.271878
0.051758,1.3194e-05,0.001066958,-47.501103,-16.951654
0.052734,0.0002112,0.000916622,42.015407,-86.366021
0.053711,0.000405526,0.000713945,21.721182,11.88678
0.054688,0.000623611,0.000474975,-29.707498,-72.302893
0.055664,0.000825199,0.000208862,3.606475,-26.474635
0.056641,0.000995976,-0.000100072,11.633811,1.092607
0.057617,0.001150333,-0.000414279,80.088945,-11.967781
0.058594,0.001319664,-0.000724339,-51.174875,8.963782
0.05957,0.001468653,-0.001023972,10.999834,67.959379
0.060547,0.001559908,-0.001272832,41.755562,17.843553
0.061523,0.001634585,-0.001465065,73.165145,-59.438153
0.0625,0.001719636,-0.001660044,-31.987577,-46.328797
0.063477,0.001777005,-0.001886823,-19.49049,-68.834307
0.064453,0.001760455,-0.002148367,31.757547,-11.111135
0.06543,0.001699649,-0.002426543,-73.540315,-50.778954
0.066406,0.001568973,-0.002711645,15.675692,41.906328
0.067383,0.00136265,-0.002977666,99.836545,145.693123
0.068359,0.001166636,-0.003130795,20.720472,-49.476906
0.069336,0.000986755,-0.003215112,-106.602314,13.385573
0.070312,0.000728416,-0.003294313,-40.647055,-20.767863
0.071289,0.000368275,-0.003355819,-30.60484,-7.039544
0.072266,-4.9449e-05,-0.003411031,53.299012,7.852428
0.073242,-0.000470897,-0.00344828,-7.931742,-51.782688
0.074219,-0.000876352,-0.003490943,-83.734147,-24.315395
0.075195,-0.001322321,-0.003556263,-2.689128,88.396496
0.076172,-0.001796553,-0.003579494,6.513726,49.136976
0.077148,-0.002245742,-0.003528195,-24.96478,-59.247188
0.078125,-0.002670504,-0.003475484,-48.255838,-36.261303
0.079102,-0.00308744,-0.003464512,106.423487,-41.069334
0.080078,-0.003424997,-0.003488727,41.92446,-45.146359
0.081055,-0.003633758,-0.003553787,46.578651,19.247548
0.082031,-0.003738599,-0.003631511,-7.831895,-2.038126
0.083008,-0.003761874,-0.00370143,-32.739385,22.30361
0.083984,-0.003741536,-0.003761807,-22.749174,-61.280288
0.084961,-0.003685676,-0.003840429,-63.896879,8.629396
